value,type,question,a,b,c,d,e,truth
c,a,What is the non-existent relationship between Aming (Li Luoming) and Yu Zu Chengmu?,Li Luoming is uncle of Yu Zu Chengmu,Li Luoming is quest companion of Yu Zu Chengmu,Li Luoming is business partner of Yu Zu Chengmu,Li Luoming is ex-husband of Yu Zu Chengmu,,d
c,a,What is the non-existent relationship between Aming (Li Luoming) and Yue Dongwen?,Li Luoming is helper of Yue Dongwen,Li Luoming is employer of Yue Dongwen,Li Luoming is deceiver of Yue Dongwen,Li Luoming is step-father of Yue Dongwen,,d
a,a,Who killed Big Brother Xia Bolong?,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,How did Big Brother Xia Bolong die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,c
b,a,What is the motive behind the killer killing Big Brother Xia Bolong?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim's elder brother, Xia Bolong. Who is that?",Enemies,brothers,friend,lover,,b
b,a,Where was Big Brother Xia Bolong killed?,"Tianji Co., Ltd",My own room,On the arena,Jiashantang Medical Hall,,b
b,b,Please select the two people you most suspect of killing Big Brother Xia Bolong,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,Who killed Wu Baian?,Yu Zu Chengmu,Aming【Luo Ming】,Yue Dongwen,Duan Yuetong,,b
b,a,How did Wu Baian die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,b
b,a,What was the motive behind the killer killing Wu Baian?,Love killing,Vendetta,interest,Accidental killing,,bb
b,a,"The perpetrator is the victim, Wu Baian. Who is that?",Enemies,colleague,friend,wife,,a
b,a,Where was Wu Baian killed?,Outside the warehouse,Franci Cake Shop,Quan Guan,Wu Baian's home,,a
b,a,When was Wu Baian killed?,On the evening of July 28th,On the morning of July 29th,On the evening of July 29th,On the morning of July 30th,,c
b,b,Please select the two people you most suspect of killing Wu Baian,Yu Zu Chengmu,Aming【Luo Ming】,Yue Dongwen,Duan Yuetong,,a
b,a,"What is the relationship between Xia Sanhu and Yu Zhu Chengmu, the third brother?","Xia Sanhu, the third younger brother, was tricked into making money by Yu Zhu Chengmu's trap",Xia Sanhu and Yu Zhu Chengmu are good friends,"Yu Zhu Chengmu is the disciple of Xia Sanhu, the third brother","Yu Zhu Chengmu is the superior of Xia Sanhu, the third brother",,c
b,a,Who ambushed A'e [Xia Shue] in Xia Sanhu's room?, Xia Sanhu,Yu Zu Chengmu,Aming【Luo Ming】,Duan Yuetong,,b
b,a,How did the furniture in the warehouse come from?,"Xia Sanhu, the third brother, was deceived into buying fake goods",The birthday gift of Emperor Taisho,Deposited by Yu Zhu Chengmu,"Xia Sanhu, the third brother, bought it for his own use",,a
b,a,Who is Duan Yuetong's biological father?,Big Brother [Xia Bolong],Xia Zhongpeng,Xia Sanhu,Li Zicai,,a
b,b,Who took the gold medal?,Yu Zu Chengmu,Aming【Luo Ming】,Yue Dongwen,Duan Yuetong,,a
b,a,"How did Xia Sanhu, the third brother, become addicted to gambling?",Being taken to gamble by Yu Zhu Chengmu,Lack of money flower,Gambling was very popular when studying in Japan,Social needs,,a
b,a,What is Yu Zhu Chengmu?,"Li Zicai's younger brother from the ""Jiashantang"" medical clinic","Founder of Tianji Co., Ltd",Xia Sanhu's Japanese classmate,Xia Bolong's illegitimate child,,a
b,a,What is the relationship between Aming Luo Ming and Yu Zu Chengmu?,uncles and nephews,stranger,Enemies,friend,,a
b,a,What is the true identity of Aming [Luo Ming]?,Big brother Xia Bolong's illegitimate child,"Luo Ming, an orphan working at the dock","Li Zicai's son from the ""Jiashantang"" medical clinic",Eyeliner of [Yu Zu Chengmu],,c
b,a,What is Yue Dongwen hiding?,His company sells fake drugs,"Wu Baian has sold the ""insect killing spirit"" that can cause human death",He is a murderer,He is Duan Yuetong's biological father,,b
c,a,"What is the non-existent relationship between Xia Sanhu and Luo Ming, the third brother?",Xia Sanhu is student of Luo Ming,Xia Sanhu is subordinate of Luo Ming,Xia Sanhu is victim of Luo Ming,Xia Sanhu is daughter of Luo Ming,,d
c,a,"What is the non-existent relationship between Xia Sanhu and Yu Zhu Chengmu, the third brother?",Xia Sanhu is creditor of Yu Zu Chengmu,Xia Sanhu is deceiver of Yu Zu Chengmu,Xia Sanhu is victim of Yu Zu Chengmu,Xia Sanhu is secret lover of Yu Zu Chengmu,,d
c,a,"What is the relationship between Xia Sanhu and Xia Beigui, the third brother?",Xia Sanhu is father and mentor of Xia Beigui,Xia Sanhu is tour guide and seller of Xia Beigui,Xia Sanhu is seller and perpetrator 's family of Xia Beigui,Xia Sanhu is perpetrator 's family and minion of Xia Beigui,,a
c,a,What is the non-existent relationship between A'e [Xia Shue] and [Xia Zhongpeng]?,Xia Shue is uncle of Xia Zhongpeng,Xia Shue is mentor of Xia Zhongpeng,Xia Shue is helper of Xia Zhongpeng,Xia Shue is bully of Xia Zhongpeng,,d
c,a,What is the non-existent relationship between A'e [Xia Shue] and his third brother [Xia Sanhu]?,Xia Shue is uncle of Xia Sanhu,Xia Shue is mentor of Xia Sanhu,Xia Shue is helper of Xia Sanhu,Xia Shue is adversary of Xia Sanhu,,d
c,a,What is the non-existent relationship between A'e Xia Shue and Luo Ming?,Xia Shue is student of Luo Ming,Xia Shue is friend of Luo Ming,Xia Shue is perpetrator of Luo Ming,Xia Shue is lover of Luo Ming,,d
c,a,What is the non-existent relationship between Yu Zhu Chengmu and his third brother Xia Sanhu?,Yu Zu Chengmu is schoolmate of Xia Sanhu,Yu Zu Chengmu is friend of Xia Sanhu,Yu Zu Chengmu is deceived by Xia Sanhu,Yu Zu Chengmu is uncle of Xia Sanhu,,d
c,a,What is the non-existent relationship between Yu Zu Chengmu and Aming Luo Ming?,Yu Zu Chengmu is nephew of Li Luoming,Yu Zu Chengmu is manipulator of Li Luoming,Yu Zu Chengmu is quest companion of Li Luoming,Yu Zu Chengmu is admired by Li Luoming,,d
c,a,What is the non-existent relationship between Yu Zhu Chengmu and Anqi?,Yu Zu Chengmu is helper of Anqi,Yu Zu Chengmu is product provider of Anqi,Yu Zu Chengmu is creditor of Anqi,Yu Zu Chengmu is sibling of Anqi,,d
a,a,Who killed Xia Bolong?,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,How did Xia Bolong die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,c
b,a,What was the motive behind the killer killing Xia Bolong?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Xia Bolong. Who is that?,Enemies,brothers,friend,lover,,b
b,a,Where was Xia Bolong killed?,"Tianji Co., Ltd",My own room,On the arena,Jiashantang Medical Hall,,b
b,b,Please select the two people you most suspect of killing Xia Bolong,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,Who killed Xia Sanhu?,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,b
b,a,How did Xia Sanhu die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Strangled by a belt,,d
b,a,What was the motive behind the killer killing Xia Sanhu?,Love killing,Vendetta,interest,To annihilate one's family with great righteousness,,d
b,a,The perpetrator is the victim Xia Sanhu. Who is that?,Enemies,Apprentice,friend,brothers,,d
b,a,Where was Xia Sanhu killed?,"Tianji Co., Ltd",In my own room,On the arena,Jiashantang Medical Hall,,b
b,a,When was Xia Sanhu killed?,Today (August 3rd) from 18:00 to 18:10,Today (August 3rd) from 20:00 to 20:10,July 30th 18:00-18:10,July 20th 20:00-20:10,,a
b,b,Please select the two people you most suspect of killing Xia Sanhu,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,a
a,a,Who killed Wu Baian?,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,b
b,a,How did Wu Baian die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,b
b,a,What was the motive behind the killer killing Wu Baian?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The perpetrator is the victim, Wu Baian. Who is that?",Enemies,colleague,friend,wife,,a
b,a,Where was Wu Baian killed?,Outside the warehouse,Franci Cake Shop,Quan Guan,Wu Baian's home,,a
b,a,When was Wu Baian killed?,On the evening of July 28th,On the morning of July 29th,On the evening of July 29th,On the morning of July 30th,,c
b,b,Please select the two people you most suspect of killing Wu Baian,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,a
b,a,Who is the person who deceived Xia Sanhu into buying counterfeit goods?,Yu Zu Chengmu and Aming,Duan Yuetong,Master Meng,Wu Baian,,a
b,b,Who took the gold medal?,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,a
b,a,How did Xia Sanhu get addicted to gambling?,Being taken to gamble by Yu Zhu Chengmu,Lack of money flower,Gambling was very popular when studying in Japan,Social needs,,a
b,a,What is the relationship between Aming and Yu Zu Chengmu?,uncles and nephews,stranger,Enemies,friend,,a
b,a,What has Yue Kesa been doing lately?,gambling,Doing business,Learn Boxing in a Boxing Studio,Developing drugs,,c
b,a,How is the relationship between Xia Shue and Yue Kesa?,Business partners,Master apprentice,enemy,lover,,b
b,a,"Why do Xia Shue become an ""intern nurse""?",Exploring the Truth about Father's Death,make money,Personal interests and hobbies,Family arrangements,,a
c,a,What is the relationship between Wu Baian and Li Zicai?,Wu Baian is schoolmate and quest companion of Li Zicai,Wu Baian is deceived by x and daughter in law of Li Zicai,Wu Baian is daughter in law and employee of Li Zicai,Wu Baian is employee and perpetrator of Li Zicai,,a
c,a,What is the relationship between Wu Baian and Xia Shue?,Wu Baian is colleague and information receiver from x of Xia Shue,Wu Baian is attempted perpetrator and elder brother of Xia Shue,Wu Baian is elder brother and bully of Xia Shue,Wu Baian is bully and half sister of Xia Shue,,a
c,a,What is the relationship between Wu Baian and Li Luoming?,Wu Baian is murderer of Li Luoming,Wu Baian is master of Li Luoming,Wu Baian is seeker of help from Li Luoming,Wu Baian is schoolmate of Li Luoming,,a
c,a,What is the non-existent relationship between Xia Sanhu and Luo Ming?,Xia Sanhu is student of Luo Ming,Xia Sanhu is subordinate of Luo Ming,Xia Sanhu is victim of Luo Ming,Xia Sanhu is granddaughter of Luo Ming,,d
c,a,What is the non-existent relationship between Xia Sanhu and Yu Zhu Chengmu?,Xia Sanhu is creditor of Yu Zu Chengmu,Xia Sanhu is deceiver of Yu Zu Chengmu,Xia Sanhu is victim of Yu Zu Chengmu,Xia Sanhu is sister of Yu Zu Chengmu,,d
c,a,What is the relationship between Xia Sanhu and Xia Beigui?,Xia Sanhu is father and mentor of Xia Beigui,Xia Sanhu is co-wives and boyfriend of Xia Beigui,Xia Sanhu is boyfriend and manipulator of Xia Beigui,Xia Sanhu is manipulator and betrayed by x of Xia Beigui,,a
c,a,What is the non-existent relationship between Yue Kesa and Xia Shue?,Yue Kesa is mentor of Xia Shue,Yue Kesa is helped by Xia Shue,Yue Kesa is perpetrator of Xia Shue,Yue Kesa is child of Xia Shue,,d
c,a,What is the relationship between Yue Kesa and Duan Yuetong?,Yue Kesa is friend and helped by x of Duan Yuetong,Yue Kesa is adoptive sister and half brother of Duan Yuetong,Yue Kesa is half brother and uncle of Duan Yuetong,Yue Kesa is uncle and customer of Duan Yuetong,,a
c,a,What is the relationship between Yue Kesa and Xia Zhongpeng?,Yue Kesa is mentor and superior of Xia Zhongpeng,Yue Kesa is manipulated by x and manipulator of Xia Zhongpeng,Yue Kesa is manipulator and grandchild of Xia Zhongpeng,Yue Kesa is grandchild and younger brother of Xia Zhongpeng,,a
c,a,What is the non-existent relationship between Li Luoming and Xia Sanhu?,Li Luoming is superior of Xia Sanhu,Li Luoming is manipulated by Xia Sanhu,Li Luoming is deceived by Xia Sanhu,Li Luoming is lover of Xia Sanhu,,d
c,a,What is the non-existent relationship between Li Luoming and Yu Zu Chengmu?,Li Luoming is uncle of Yu Zu Chengmu,Li Luoming is quest companion of Yu Zu Chengmu,Li Luoming is business partner of Yu Zu Chengmu,Li Luoming is betrayed by Yu Zu Chengmu,,d
c,a,What is the non-existent relationship between Li Luoming and Yue Dongwen?,Li Luoming is helper of Yue Dongwen,Li Luoming is employer of Yue Dongwen,Li Luoming is deceiver of Yue Dongwen,Li Luoming is mother in law of Yue Dongwen,,d
